customer_city,total_orders,late_orders,avg_delivery_days,avg_delivery_days_not_null,late_delivery_rate,level,product_category_name
cuiaba,242,18,17.54,17.541322314049587,7.44,city,
cotia,242,0,6.51,6.512396694214876,0.0,city,
joao pessoa,241,33,19.57,19.57261410788382,13.69,city,
campos dos goytacazes,235,21,14.01,14.008510638297873,8.94,city,
macae,232,29,16.19,16.19396551724138,12.5,city,
sao carlos,231,3,9.36,9.35930735930736,1.3,city,
volta redonda,226,17,15.56,15.557522123893806,7.52,city,
suzano,221,3,7.58,7.579185520361991,1.36,city,
americana,220,0,7.08,7.077272727272727,0.0,city,
petropolis,219,20,14.72,14.71689497716895,9.13,city,
